P.O.,HPOrderNo,SAP #,Shp Pt,C/R/P/B,Hold,Purchase OrderDate,Order Entry Date,OE TAT,MFG SLA Start,MFG SLA Required date,FB Config,Network Switch,iLO Mgmt Switch,Power Whip,Bonnet,CID,OnePager,Rack Doc,Rack QTY,Server QTY,"Node
Qty",RDD,Current System Commit date,Planned order start date,Sched Delivery date,Owner,Status,ShipToName,ShipToAddress1,ShipTo Address 2,Ship to Address 3,Ship to Address 4,ShipToCountry,Total Order Value $,OE Delay Root Cause/Comments,Tracking #,Carrier,ADD,Made RDD Y/N,OTD TAT,Root Cause,,,,,,,,,,,
1010000096,,,,,,12/26/2012,,,,,,,,,,,,,0,0,0,0,12/9/2012,,,,,,,"Facebook, Inc",,,STK-HP-HOUSTON,"Kamlani, Anisa","Houston, TX",United States,,,,,,,,,,,,,,,,
1040000148,32821273,202194955,XL00/JK01,R,,12/21/2012,,4,,80,Tier 4 Classic Integration FB DC,1/15/2013,,,,,PRN 2A/B,Facebook Vitesse,4,0,80,0,1/15/2013,,,,,,,c/o Vitesse LLC (PRN 2A/B),500 SW Connect Way,"Dinsmore, Michael","Prineville, OR 97754",United States,,,,,,,,,,,,,,,,,,
1050000159,32831018,202195772,XL00/JK01,R,,12/27/2012,,,,,Tier 4 Classic Integration FB DC,,,,,,,,45,0,900,0,1/15/2013,,,Multiple,,Power Supplies Shipped Fedex Freight # 2810718470 Delivery ETA 1/10,,FRC 3A/B,Facebook Andale,FRC 3A/B,284 Social Circle,"Tobin, Simon","Forest City, NC 28043",United States,,,,,,,,,,,,,,,,
